MMFE8 VMM CH  Gain      Pedestal  (TDO = time*G + P)
105   3   20  1.54e+00  3.27e+01  
105   3   21  1.57e+00  2.34e+01  
105   3   22  1.56e+00  2.84e+01  
105   3   23  1.54e+00  2.97e+01  
105   3   24  1.45e+00  2.39e+01  
105   3   25  1.66e+00  2.52e+01  
105   3   26  1.63e+00  1.97e+01  
105   3   27  1.47e+00  2.36e+01  
105   3   28  1.21e+00  2.89e+01  
105   3   29  1.51e+00  2.22e+01  
105   3   30  1.38e+00  2.57e+01  
105   3   32  1.81e+00  2.64e+01  
105   3   33  1.59e+00  3.51e+01  
105   3   34  1.52e+00  3.00e+01  
105   3   35  1.62e+00  2.78e+01  
105   3   36  1.52e+00  2.51e+01  
